Processes: 1083 total, 4 running, 1079 sleeping, 6648 threads 
2026/02/13 16:43:50
Load Avg: 90.83, 488.15, 292.85 
CPU usage: 22.1% user, 12.53% sys, 65.45% idle 
SharedLibs: 1065M resident, 206M data, 189M linkedit.
MemRegions: 855846 total, 22G resident, 1033M private, 6156M shared.
PhysMem: 48G used (2968M wired, 1633M compressor), 15G unused.
VM: 505T vsize, 5268M framework vsize, 0(0) swapins, 0(0) swapouts.
Networks: packets: 3497485/2681M in, 1686405/777M out.
Disks: 2809860/44G read, 3889884/51G written.

PID    COMMAND          %CPU TIME     #TH #WQ #PORTS MEM   PURG CMPRS PGRP  PPID  STATE    BOOSTS   %CPU_ME %CPU_OTHRS UID FAULTS COW  MSGSENT MSGRECV SYSBSD SYSMACH CSW   PAGEINS IDLEW POWER INSTRS CYCLES JETPRI USER       #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
89648  coreautha        0.0  00:00.87 3   1   174    11M   0B   2608K 89648 1     sleeping *0[2018] 0.00000 0.00000    501 4064   189  12116   6538    42336  39518   17087 18      5     0.0   0      0      0      bagjongman N/A    N/A   N/A   N/A   N/A   N/A  
89646  rapportd         0.0  00:00.04 2   1   40     2801K 0B   1216K 89646 1     sleeping *0[1]    0.00000 0.00000    0   969    102  148     79      814    317     404   11      0     0.0   0      0      0      root       N/A    N/A   N/A   N/A   N/A   N/A  
84730  AuthenticationSe 0.0  00:00.89 2   1   104    6290K 0B   1568K 84730 1     sleeping *0[2343] 0.00000 0.00000    501 2059   182  3851    5574    52170  15996   15062 35      0     0.0   0      0      0      bagjongman N/A    N/A   N/A   N/A   N/A   N/A  
84724  MTLCompilerServi 0.0  00:00.32 2   1   31     13M   0B   8096K 84724 1     sleeping *0[67]   0.00000 0.00000    0   1685   121  217     138     1830   602     321   2       0     0.0   0      0      0      root       N/A    N/A   N/A   N/A   N/A   N/A  
84723  MTLCompilerServi 0.0  00:00.18 2   1   31     13M   0B   6144K 84723 1     sleeping *0[47]   0.00000 0.00000    0   1716   121  190     115     2070   449     210   2       0     0.0   0      0      0      root       N/A    N/A   N/A   N/A   N/A   N/A  
84722  PowerChime       0.0  00:00.90 7   2   387    14M   0B   6336K 84722 1     sleeping *0[1]    0.00000 0.00000    501 6699   271  12433   7076    49260  43222   26954 65      6     0.0   0      0      40     bagjongman N/A    N/A   N/A   N/A   N/A   N/A  
84721  MTLCompilerServi 0.0  00:00.03 2   1   37     7649K 0B   7232K 84721 1     sleeping *0[2]    0.00000 0.00000    501 1102   123  160     62      693    338     170   36      0     0.0   0      0      0      bagjongman N/A    N/A   N/A   N/A   N/A   N/A  
84720  MTLCompilerServi 0.0  00:00.03 2   1   37     7585K 0B   7152K 84720 1     sleeping *0[2]    0.00000 0.00000    501 1104   123  160     62      697    336     205   5       0     0.0   0      0      0      bagjongman N/A    N/A   N/A   N/A   N/A   N/A  
81490  mediaanalysisd-a 0.0  00:00.22 2   1   48     5489K 0B   1120K 81490 1     sleeping *0[5]    0.00000 0.00000    501 1669   110  222     115     7346   1387    1046  2       0     0.0   0      0      0      bagjongman N/A    N/A   N/A   N/A   N/A   N/A  
73233  com.apple.toneli 0.0  00:00.02 2   1   26     2017K 0B   672K  73233 1     sleeping *0[2]    0.00000 0.00000    501 638    93   156     65      512    299     135   2       0     0.0   0      0      0      bagjongman N/A    N/A   N/A   N/A   N/A   N/A  
